collection_id,sequence_id,resource_id,title,description,is_deleted
0008d66a-753f-4639-8634-81bb3abb3269,3,2ee6f80f-0851-4cfa-b4bf-2655e9c46ab7,Solve the Linear equation: _______,"<p>Solve the Linear equation:<span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7B4%7D%3D%5Cfrac%7B%7B%7B6%7D%2B%7Bp%7D%7D%7D%7B%7B2%7D%7D"" title=""4 = (6 + p)/2"" style=""vertical-align: middle;""> </span> <span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7Bp%7D%3D"" title=""p ="" style=""vertical-align: middle;""> </span> [2]</p>",f
0008d66a-753f-4639-8634-81bb3abb3269,1,231eb4ad-d0e8-4e94-a552-f8bd2358a47a,Solve the linear equation: _______,"<p><span style=""color: rgb(102, 102, 102); font-family: Roboto, 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 13px; letter-spacing: 0.1px; line-height: 23.998px;"">Solve the linear equation:  <span style=""color: rgb(102, 102, 102); font-family: Roboto, 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 13px; letter-spacing: 0.1px; line-height: 23.998px;""><img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle-%7B4%7D%7Bx%7D%2B%7B12%7D%3D%7B10%7D"" title=""-4x + 12 = 10"" style=""vertical-align: middle;""></span> <span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7Bx%7D%3D"" title=""x ="" style=""vertical-align: middle;""> </span> [1/2] . Please write your answer as a fraction.<br></span> </p><br>",f
0008d66a-753f-4639-8634-81bb3abb3269,4,81c6995c-dd95-418e-a8c4-c22d8ccd32e9,Solve the linear equation: _______,"<p>Solve the linear equation:<span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7B0%7D%3D%5Cfrac%7B%7Bx%7D%7D%7B%7B3%7D%7D%2B%7B6%7D"" title=""0 = x/3 + 6"" style=""vertical-align: middle;""> </span> <span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7Bx%7D%3D"" title=""x ="" style=""vertical-align: middle;""> </span> [-18]</p>",f
0008d66a-753f-4639-8634-81bb3abb3269,5,15a464a4-a2d8-41dd-b00e-ff7fea0aa720,"If , then _______","<p>If<span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle-%7B20%7D%3D%7B6%7D%7Bv%7D%2B%7B4%7D"" title=""-20 = 6v + 4"" style=""vertical-align: middle;""> </span> , then<span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7Bx%7D%3D"" title=""x ="" style=""vertical-align: middle;""> </span> [-4]</p>",f
0008d66a-753f-4639-8634-81bb3abb3269,2,0b248202-12a9-405b-acd1-4ab8250e4198,"If , then _______","<p><span style=""color: rgb(102, 102, 102); font-family: Roboto, 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 13px; letter-spacing: 0.1px; line-height: 23.998px;"">If <span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7B3%7D-%7B5%7D%7Bx%7D%3D%7B2%7D"" title=""3 - 5x = 2"" style=""vertical-align: middle;""> </span>, then <span class=""AM""> <img src=""//mtex.gooru.org/cgi-bin/mimetex.cgi?%5Cdisplaystyle%7Bx%7D%3D"" title=""x ="" style=""vertical-align: middle;""> </span>[1/5]. &nbsp;Please write your answer as a fraction.</span></p><br>",f
001bf2c6-8ede-478a-9b8b-d7750488cb1b,13,c6e0deec-21ae-43ec-9df3-6e7cb4b25b45,How much more cloth is needed,"4
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{2}</span>$$\frac{1}{2}$$</span></span>yards of cloth are needed to make a woman’s dress. 2
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{2}{7}</span>$$\frac{2}{7}$$</span></span>
yards of cloth are needed to make a girl’s
dress. How much more cloth is needed to make a woman’s dress than a girl’s dress?",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,9,d6de75ea-f05a-49d8-94bc-0f1b1c554dc2,How much orange juice does she have left,"Meiling has 1<span class=""gru-math-expression""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{4}</span>$$\frac{1}{4}$$</span></span> liter of orange juice. She drinks <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{3}</span>$$\frac{1}{3}$$</span></span>
liter. How much orange juice does she have left?
(Extension: If her brother then drinks twice as much as Meiling , how much is left?)",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,12,53f88343-e1e2-4837-97f1-e64806760648,How much more of the candy bar,"

Sandy ate <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{6}</span>$$\frac{1}{6}$$</span></span>of a candy bar. John ate <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{3}{4}</span>$$\frac{3}{4}$$</span></span>
of it. How much more of the candy bar did John eat than Sandy?<br>",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,10,b8f06235-3dae-42f8-a61f-aaf5e691ad50,Harlan used 3 1/2 kg of sand to make a large,"Harlan used 3
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{2}</span>$$\frac{1}{2}$$</span></span>
kg of sand to make a large hourglass. To make a smaller hourglass, he only used 1
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{3}{7}</span>$$\frac{3}{7}$$</span></span>
kg
of sand. How much more sand did it take to make the large hourglass than the smaller one?",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,2,8b9c50e6-e568-48f7-afee-91f46c8fb523,Subtracting Fractions from Whole Numbers,,f
001bf2c6-8ede-478a-9b8b-d7750488cb1b,15,b5937498-c588-472b-ae5e-33f4be075964,How many gallons of water are left in the tank,"

Tank A has a capacity of 9.5 gallons. 6
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{3}</span>$$\frac{1}{3}$$</span></span>gallons of the tank’s water are poured out. How many gallons of
water are left in the tank?

",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,8,101cea05-c940-4140-8059-6854ee884d68,Find the common unit,"George says that, to subtract fractions with different denominators, you always have to multiply the
denominators to find the common unit; for example:<br>
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{3}{8}</span>$$\frac{3}{8}$$</span></span>
−
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{6}</span>$$\frac{1}{6}$$</span></span>
=
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{18}{48}</span>$$\frac{18}{48}$$</span></span>
−<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{8}{48}</span>$$\frac{8}{48}$$</span></span><br> Show George how he could have chosen a denominator smaller than 48, and solve the problem. ",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,6,b5597241-7c75-489f-8bb1-cb8693cf5465,Student Debrief,,f
001bf2c6-8ede-478a-9b8b-d7750488cb1b,14,fc891ed4-a5aa-4e21-a406-b08f269e831c,What fraction of the book,"Bill reads <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{5}</span>$$\frac{1}{5}$$</span></span>
of a book on Monday. He reads <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{2}{3}</span>$$\frac{2}{3}$$</span></span>
of the book on Tuesday. If he finishes reading the book on
Wednesday, what fraction of the book did he read on Wednesday?",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,5,8587312a-fd96-4256-928b-230462bbc65d,Concept Development,,f
001bf2c6-8ede-478a-9b8b-d7750488cb1b,4,0598accc-df55-4f03-9bb3-09bdd9a4acc6,Application Problem,,f
001bf2c6-8ede-478a-9b8b-d7750488cb1b,3,0882e4d2-a8c8-4ec4-b3f2-513dd9dd1930,Adding and Subtracting Fractions with Like Units,,f
001bf2c6-8ede-478a-9b8b-d7750488cb1b,1,1b922fae-619f-4f52-9551-663b3206e4e5,Lesson 11,,f
001bf2c6-8ede-478a-9b8b-d7750488cb1b,11,e16a02cd-75b8-4ef7-bc88-6160bb9f4f72,Generate equivalent fractions,"Generate equivalent fractions to get like units. Then, subtract. <br>a.
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{2}</span>$$\frac{1}{2}$$</span></span>
−
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{5}</span>$$\frac{1}{5}$$</span></span>
= <br><br>b. <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{7}{8}</span>$$\frac{7}{8}$$</span></span>
−
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{3}</span>$$\frac{1}{3}$$</span></span>
=<br><br>
c.
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{7}{10}</span>$$\frac{7}{10}$$</span></span>
−<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{3}{5}</span>$$\frac{3}{5}$$</span></span>
=<br> <br>d. 1<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{5}{6}</span>$$\frac{5}{6}$$</span></span>
−<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{2}{3}</span>$$\frac{2}{3}$$</span></span>
=<br><br>
e. 2
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{4}</span>$$\frac{1}{4}$$</span></span>
− 1<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{5}</span>$$\frac{1}{5}$$</span></span>=<br><br> f. 5<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{6}{7}</span>$$\frac{6}{7}$$</span></span>
− 3
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{2}{3}</span>$$\frac{2}{3}$$</span></span>=
<br><br>g. 15 <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{7}{8}</span>$$\frac{7}{8}$$</span></span>
− 5
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{3}{4}</span>$$\frac{3}{4}$$</span></span>=<br><br>h. 15 <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{5}{8}</span>$$\frac{5}{8}$$</span></span>
− 3
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{3}</span>$$\frac{1}{3}$$</span></span>
=<br><br>",t
001bf2c6-8ede-478a-9b8b-d7750488cb1b,7,97e5d379-a95e-44bb-a955-984905c9d7eb,Generate equivalent fractions to get like units,"Generate equivalent fractions to get like units. Then, subtract.<br>
a.
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{2}</span>$$\frac{1}{2}$$</span></span>−
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{3}</span>$$\frac{1}{3}$$</span></span>
= <br><br> b. <span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{7}{10}</span>$$\frac{7}{10}$$</span></span>−
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{3}</span>$$\frac{1}{3}$$</span></span>
=
<br><span class=""gru-math-expression"" contenteditable=""false""><span class=""source"" hidden=""""></span><span class=""katex""><span class=""katex-mathml""><math><semantics><mrow></mrow><annotation encoding=""application/x-tex""></annotation></semantics></math></span><span class=""katex-html"" aria-hidden=""true""><span class=""strut"" style=""height:0em;""></span><span class=""strut bottom"" style=""height:0em;vertical-align:0em;""></span><span class=""base textstyle uncramped""></span></span></span></span><br>c.
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{7}{8}</span>$$\frac{7}{8}$$</span></span>−
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{3}{4}</span>$$\frac{3}{4}$$</span></span>=<br><br> d. 1
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{2}{5}</span>$$\frac{2}{5}$$</span></span>
−
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{3}{8}</span>$$\frac{3}{8}$$</span></span>
=<br><br>
e. 1
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{3}{10}</span>$$\frac{3}{10}$$</span></span>−
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{6}</span>$$\frac{1}{6}$$</span></span>
=<br><br> f. 2<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{3}</span>$$\frac{1}{3}$$</span></span>− 1
<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{1}{5}</span>$$\frac{1}{5}$$</span></span>
=
<br><br>g. 5<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{6}{7}</span>$$\frac{6}{7}$$</span></span>− 2<span class=""gru-math-expression"" contenteditable=""false""><span class=""gru-math-expression""><span class=""source"" hidden="""">\frac{2}{3}</span>$$\frac{2}{3}$$</span></span>
=<br><br> h. Draw a number line to show that your answer
to (g) is reasonable.",t
001c0be2-043e-42df-b20b-aff44f785835,1,ebcaa7a8-c6ac-4b49-ad5c-183bb1b02d9d,Determine the volume occupied by 0.05318 mol of ca,"Determine the volume occupied by 0.05318 mol of carbon dioxide at STP (273 K, 1 atm).",f
001ed871-f958-4f85-a638-6219d47b3935,1,bdec4c39-e92c-4cce-95eb-13b389de9f5c,FCN instructions,FCN instructions,f
001ed871-f958-4f85-a638-6219d47b3935,8,15aad96a-9bb1-4039-ab5c-094a1027de29,Atoms flashcards | Quizlet,Vocabulary words for Atomic Structure. Includes studying games and tools such as flashcards.,f
001ed871-f958-4f85-a638-6219d47b3935,5,d796ed55-67db-41b6-ae29-1f55a51b8fb6, The Atom,"In this interactive activity from ChemThink, learn about atomic structure. Follow the tutorial to understand how individual atoms—the basis of all matter—are composed of subatomic particles such as electrons, protons, and neutrons. Investigate the three types of particles, their properties (such as mass and charge), and relative locations.",f
001ed871-f958-4f85-a638-6219d47b3935,6,0999fc71-0e68-4e24-b3fc-a367c7b66567,The Nucleus: Crash Course Chemistry #1,"Hank does his best to convince us that chemistry is not torture, but is instead the amazing and beautiful science of stuff. Chemistry can tell us how three tiny particles - the proton, neutron and electron - come together in trillions of combinations to form ... everything. In this inaugural episode",f
001ed871-f958-4f85-a638-6219d47b3935,2,9dad3a1d-6f8b-4ef6-bc2c-b207d8d2ce1f,Table of Contents - Google Docs,,f
001ed871-f958-4f85-a638-6219d47b3935,7,cf5bd2ad-b11b-4b15-953e-2d806de1c68f,"Atoms are made up of_______, neutrons, and the lightest of all_______ (found in the outside). The electrons weigh the _______ since they spin around in _______. The two that are in the _______ and have the same mass are the protons and ________.","<p>Atoms are made up of_______, neutrons, and the lightest of all_______ (found in the outside). The electrons weigh the _______ since they spin around in _______. The two that are in the _______ and have the same mass are the protons and ________.</p><p><br></p>",f
001ed871-f958-4f85-a638-6219d47b3935,3,23037eef-238b-496e-86e3-cc4afc2e272c,BrainPOP | Science | Learn about Atoms,"In this educational animated movie about Science learn about neutrons, protons, molecules, and nuclei.",f
001ed871-f958-4f85-a638-6219d47b3935,4,cb87b6c9-25c1-4ac9-b9bd-a86b880e65dd,Zarate Science Sub Atomic Particles Table,Zarate Science Sub Atomic Particles Table,f
00247455-2bac-4152-af3f-0b33860e7e15,2,09f0045a-5e06-4146-8985-9a78f3066032,Check for Understanding - Obj. 1,"Describe the rise of fascism and militarism in Japan, Italy, and Germany.",t
00247455-2bac-4152-af3f-0b33860e7e15,1,c3284b10-b6d4-46e2-848b-d7ce79aace59,Presentation: Rise of Facism,Overview of the rise and spread of Fascism.,f
00247455-2bac-4152-af3f-0b33860e7e15,3,f0b419ea-cc7e-4f71-a6ba-4aa70b6c8353,Testbook Reading: The Rise of Fascism,Reading on the rise of Fascism.,t
0025274f-8826-472b-9ea5-16b55bad990d,7,118e7779-5f5e-476f-bb8e-0d3228276c52,Practice: Box Plot,Practice: Box Plot,t
0025274f-8826-472b-9ea5-16b55bad990d,3,cc02648b-d8ba-4a34-8e36-b19f4c9d29d1,Constructing a Box-and-Whisker Plot,"Khan Academy presents Constructing a box-and-whisker plot, an educational video resource on math.",f
0025274f-8826-472b-9ea5-16b55bad990d,2,b63cc150-f395-4a2d-9d14-05fd6de98078,Reading Box-and-Whisker Plots ,Reading Box-and-Whisker Plots,f
0025274f-8826-472b-9ea5-16b55bad990d,1,44cef389-b0d6-4387-ac89-165110464e2a,Dictionary for Kids,"A Maths Dictionary for Kids presents Dictionary for Kids, an educational activity resource on math.",f
0025274f-8826-472b-9ea5-16b55bad990d,6,4b363f93-ee2e-490b-b6c3-8ddc61ef0949,Practice: Creating a Box Plot,Practice making box plots to summarize data sets.,f
0025274f-8826-472b-9ea5-16b55bad990d,4,015df83c-5eba-4c14-a42b-6792f51550df,Reading:  Box Plot,How to read a box plot,f
0025274f-8826-472b-9ea5-16b55bad990d,8,01bf5e58-5e85-490a-a049-7c75d48b8ecf,Check for Understanding: Box Plot,Check for Understanding: Box Plot,t
0025274f-8826-472b-9ea5-16b55bad990d,5,2b60eedb-30d8-4655-901f-ab1c80e26cdd,Video:  Box Plots,Creating and  reading box plots,f
003297c6-8ce6-45f7-84b2-15d25de8c2a3,2,450605cc-242a-4b0e-8176-81b28be7d2a1,How does this definition of Beelzebub give you further insight into the novel? Who/What do you believe is the embodiment of Beelzebub in the novel Lord of the Flies?,<p>How does this definition of Beelzebub give you further insight into the novel? Who/What do you believe is the embodiment of Beelzebub in the novel Lord of the Flies?</p>,f
003297c6-8ce6-45f7-84b2-15d25de8c2a3,4,9e37ab5a-fc77-4738-a921-8f06e46b7e76,"Choose one of the songs from Resource 6.2, analyze the song and write an explanation for how it reflects the Novel, Lord of the Flies. Be sure to use textual evidence from both the song and the novel to support your claims.","<p>Choose one of the songs from Resource 6.2, analyze the song and write an explanation for how it reflects the Novel, Lord of the Flies. Be sure to use textual evidence from both the song and the novel to support your claims.</p>",f
003297c6-8ce6-45f7-84b2-15d25de8c2a3,1,8d635e1b-1f10-4e9b-a8c7-54db8e50c37c,6.1 - Beelzebub,6.1 - Beelzebub,f
003297c6-8ce6-45f7-84b2-15d25de8c2a3,3,c04b44c5-3533-4a48-962d-668b16f6face,6.2 - Lord of The Flies songs,6.2 - Lord of The Flies songs,f
00413ae4-2088-4319-97b1-8216a4fee1e7,7,b8c6d2b6-3405-49f5-89fe-c76bf01d7133,First Law Problem,Solve for the Heat in this heat flow diagram.<br>Q<sub>﻿c</sub> = [150] J,f
00413ae4-2088-4319-97b1-8216a4fee1e7,6,ea5f0dc7-eafd-499c-b16c-8b1275d4b6af,First Law Problem,Solve for the Work in this heat flow diagram.<br>W = [20] J,f
00413ae4-2088-4319-97b1-8216a4fee1e7,4,b4e5fdbd-f08a-4dad-8ef3-a671dffe5f22,Reading: First Law and Types of Processes,An in-depth reading on the First Law that also covers types of thermodynamic processes and includes problems.,f
00413ae4-2088-4319-97b1-8216a4fee1e7,3,cf6df015-c58c-4236-aeb7-c6abf574eed0,Reading: First Law of Thermodynamics in Depth,An in-depth reading from NASA on the First Law of Thermodynamics.,f
00413ae4-2088-4319-97b1-8216a4fee1e7,8,3390c850-170a-45ae-9be6-39427a1115be,First Law Problem,"<span style=""color: rgb(0, 0, 0); font-size: 16px; background-color: transparent;"">A solar powered calculator takes in 150 J of energy from the sun and uses 30 J of energy during a math class. &nbsp;How much energy did the batteries gain during this time?<br></span>[120] J",f
00413ae4-2088-4319-97b1-8216a4fee1e7,5,8c2f9716-0045-4184-a19a-074348b72521,Check for Understanding: The First Law of Thermody,"After heat goes into an engine (like a car engine, for example), there is a change in the internal energy of the system, denoted ?U.",t
00413ae4-2088-4319-97b1-8216a4fee1e7,2,1da33e99-92df-406f-aabb-d6e20a4bdbb2,Reading: The First Law of Thermodynamics,An introductory reading on the first law of thermodynamics.,f
00413ae4-2088-4319-97b1-8216a4fee1e7,1,bb7907ce-dea5-4c15-bf28-f8ff0357fe80,Video: The First Law Of Thermodynamics,"This video discusses the First Law of Thermodynamics in physics, often referred to as the law of conservation of energy.",f
00443e22-0de6-47e6-937f-94782916b4f2,5,37e2078d-d384-423d-8d3d-95832b4987a6,True or False: Books are never bias or untrue.,"<span class=""tx"" style=""color: rgb(0, 0, 0); font-size: 16px; background-color: rgb(255, 255, 255);"">True or False: Books are never bias or untrue.</span><br><br><br><br><br>",f
00443e22-0de6-47e6-937f-94782916b4f2,9,cb88b7a6-d1e2-42f6-9703-8c52bb87d28a,"As you write the question, use brackets for your f",[encyclopedia] reference work with broad overview articles on various topics ,f
